corpus	seed	method	ratio	vs_br_pct	p50_ms	p95_ms	p99_ms	mbs
ShareGPT	42	brotli-6	2.4128	0.0	0.054	0.105	0.528	17.1
ShareGPT	42	GN_split_b8	2.4727	2.5	0.054	0.097	0.099	19.1
ShareGPT	42	GN_split_b16	2.5559	5.9	0.047	0.063	0.063	23.4
ShareGPT	43	GN_split_b8	2.4790	3.0	0.048	0.114	0.115	20.4
ShareGPT	43	GN_split_b16	2.5682	6.8	0.045	0.057	0.057	24.2
ShareGPT	44	GN_split_b8	2.5179	3.0	0.044	0.093	0.107	21.9
ShareGPT	44	GN_split_b16	2.6123	6.9	0.038	0.055	0.055	27.5
WildChat	123	brotli-6	2.4163	0.0	0.064	0.119	0.158	15.7
WildChat	123	GN_split_b8	2.4828	2.8	0.043	0.072	0.105	23.9
WildChat	123	GN_split_b16	2.5730	6.5	0.035	0.048	0.048	29.9
WildChat	124	GN_split_b8	2.5048	2.9	0.039	0.088	0.094	26.0
WildChat	124	GN_split_b16	2.5890	6.3	0.036	0.054	0.054	30.5
WildChat	125	GN_split_b8	2.5163	3.2	0.041	0.074	0.094	27.5
WildChat	125	GN_split_b16	2.6003	6.7	0.037	0.057	0.057	31.2
LMSYS	777	brotli-6	2.4799	0.0	0.046	0.077	0.093	25.0
LMSYS	777	GN_split_b8	2.5539	3.0	0.038	0.075	0.094	28.2
LMSYS	777	GN_split_b16	2.6398	6.4	0.034	0.047	0.047	33.8
LMSYS	778	GN_split_b8	2.5024	3.0	0.050	0.130	0.332	18.3
LMSYS	778	GN_split_b16	2.5881	6.5	0.044	0.060	0.060	26.1
LMSYS	779	GN_split_b8	2.5234	2.4	0.057	0.084	0.092	21.0
LMSYS	779	GN_split_b16	2.6118	6.0	0.039	0.047	0.055	30.2
Ubuntu-IRC	999	brotli-6	2.4493	0.0	0.050	0.104	0.169	21.4
Ubuntu-IRC	999	GN_split_b8	2.5156	2.7	0.055	0.086	0.121	21.2
Ubuntu-IRC	999	GN_split_b16	2.6030	6.3	0.039	0.053	0.053	29.0
Ubuntu-IRC	1000	GN_split_b8	2.5120	2.9	0.040	0.087	0.099	24.8
Ubuntu-IRC	1000	GN_split_b16	2.5993	6.5	0.036	0.050	0.050	30.3
Ubuntu-IRC	1001	GN_split_b8	2.4821	2.8	0.038	0.086	0.103	25.1
Ubuntu-IRC	1001	GN_split_b16	2.5659	6.3	0.040	0.081	0.081	25.9
